narrative	narrative description
Anti-EU (EU economic skepticism)	Narratives criticising EU's economic policies and how they affect local economies
Anti-EU (Crisis of EU)	Narratives expressing skepticism or concern about the EU, focusing on alleged broader issues affecting the union's legitimacy and effectiveness.
Anti-EU (EU political interference)	Narratives alleging that the EU is interfering or manipulating local politics and specific policy areas,including food, health, environmental, and migration policies, sparking controversy and debate over EU influence on national sovereignty.
Anti-EU (EU Corruption)	Narratives claiming corruption within the European Union and its institutions.
Political hate and polarisation (Pro far-left)	Refers to the manipulative narratives that fundamentally reject the existing socio-economic structure of contemporary capitalism. These narratives advocate for an alternative economic and power structure based on principles of economic justice and social equality. They view economic inequality as a core issue within the current political and social arrangements and propose a major redistribution of resources from existing political elites. Additionally, they support a state role in controlling the economy. These narratives target both “radical left” who accepts democracy but favors “workers’ democracy” and the direct participation of labor in the management of the economy, and the “extreme left” emphasizes both parliamentary, as well as the extra-parliamentary struggle against globalized capitalism, and sees no place for free-market enterprise.
Political hate and polarisation (Pro far-right)	Refers to the manipulative narratives that exploit concerns about immigration, national security, and the loss of control over domestic affairs to prioritize the interests of native citizens. These narratives advocate for strict societal authority and order, often framing these issues in a way that appeals to fear and insecurity, thereby promoting divisive and exclusionary policies. 
Political hate and polarisation (Anti-liberal)	Refers to the manipulative narratives that reject key principles of liberalism—political, economic, and cultural—and seek to reshape politics and societal norms. These narratives blame political and economic crises on liberal policies, particularly viewing the process of EU integration as a source of domestic issues. They advocate for a political community that promotes a narrow, shared cultural and moral identity, often framing these issues in a way that appeals to fear and exclusionary instincts.  
Political hate and polarisation (Anti-woke)	Narratives that frame efforts to address social inequalities—such as racism, sexism, and anti-LGBTQ+ discrimination—as exaggerated, illegitimate, or a threat to societal norms. These narratives often shift focus away from marginalized groups and instead position privileged groups, such as wealthy individuals, as victims of "wokeness" or cultural shifts. They emphasize cultural divisions, dismiss systemic inequalities as non-issues, and portray initiatives promoting minority rights or inclusion as oppressive, unnecessary, or harmful 
Religion-related (Anti-Islam)	Criticising Islam and portraying it as a threat to national security and cultural identity. Also, claiming that Muslim communities pose a risk to public safety and that the spread of Islam in Europe could lead to the destruction of traditional Western values and cultural heritage
Religion-related (Anti-Semitic conspiracy theories)	Narratives promoting conspiracy theories that allege Jewish people or organisations are responsible for major global events or issues
Religion-related (Interference with states' affairs)	Narratives of foreign religious authorities interfering in a country's internal political processes
Gender-related (Language-related)	Narratives that claim certain gender terminologies or vocabularies are being imposed on individuals or communities. Controversy over language use and inclusivity.
Gender-related (LGBTQ+-related)	Narratives related to the LGBTQ+ community. Those include discussions around issues of acceptance, rights, discrimination, etc.
Gender-related (Demographic narratives)	Narratives that argue against masturbation or the 'gender propaganda' and claiming that they promote infertility and population decline.
Ethnicity-related (Association to political affiliation)	Narratives that associate politicians with specific ethnic groups and label them in negative ways. Elections are viewed through the lens of a competition between different ethnic groups.
Ethnicity-related (Ethnic generalisation)	Narratives that generalise entire ethnic groups, treating them as homogeneous 'others'
Ethnicity-related (Ethnic offensive language)	Narratives that use offensive language to describe or address individuals based on their membership in certain ethnic groups
Ethnicity-related (Threat to population narratives)	Narratives claiming that the native population is being replaced by immigrants of different ethnicities
Migration-related (Migrants societal threat)	Narratives that portray migrants as a societal threat, emphasising issues such as violence, terrorism, inequality, and crime
Distrust in institutions (Failed state)	The country is in a state of demise/collapse. Focusing on issues such as immigration, police, etc.
Distrust in institutions (Criticism of national policies)	Criticising national policy positions on contentious issues like pension, military conscription, and wealth disparity.
Distrust in democratic system (Elections are rigged)	Narratives alleging election manipulation through various means, including political interference, exclusion, anti-vote measures, lack of transparency, and distrust in electoral institutions or polling agencies
Distrust in democratic system (Anti-Political system)	Narratives critical of the political system, asserting that political parties are neither beneficial nor necessary for a well-functioning country
Distrust in democratic system (Anti-Media)	Narratives critical of the media, including attacks on journalists, allegations of corruption or complicity in undermining the country, lack of balance and impartiality, and claims of favoritism towards a particular political faction
Distrust in democratic system (Immigrants right to vote)	Narratives surrounding immigrants' right to vote that claim their participation biases election outcomes or that they are deliberately excluded from the process, with potential impacts on election fairness and representation
Geopolitics (Pro-Russia)	Narratives that shows Russia as strong country that is the victim of the west.
Geopolitics (Foreign interference)	Narratives claiming that foreign actors are meddling in the affairs of EU countries
Geopolitics (Anti-international institutions)	Narratives that oppose or criticise organisations such as NATO
Anti-Elites (Soros)	Narratives targeting George Soros, accusing him of manipulating political processes
Anti-Elites (World Economic Forum / Great Reset)	Narratives claiming that the World Economic forum has/seeks control over society
Anti-Elites (Antisemitism)	Narratives accusing Jews or Jewish organisations of having disproportionate power and influence over society and politics
Anti-Elites (Green Agenda)	Narratives that criticise the 'Green Agenda' and green activism
